"","date","ccg_id","name","items","cost","list_size","covid_period"
"179","2018-12-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","104648","740278.93","6868222","pre-covid year 2"
"180","2018-12-01","Y62","NORTH WEST COMMISSIONING REGION","117426","777381.38","7488433","pre-covid year 2"
"181","2018-12-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","150622","946762.19","8993137","pre-covid year 2"
"182","2018-12-01","Y58","SOUTH WEST COMMISSIONING REGION","98811","634545.09","5813409","pre-covid year 2"
"183","2019-01-01","Y56","LONDON COMMISSIONING REGION","81096","619299.92","10010236","pre-covid year 2"
"184","2019-01-01","Y59","SOUTH EAST COMMISSIONING REGION","130219","870922.44","9310892","pre-covid year 2"
"185","2019-01-01","Y60","MIDLANDS COMMISSIONING REGION","175776","1055645.15","11110020","pre-covid year 2"
"186","2019-01-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","109026","709062.74","6871714","pre-covid year 2"
"187","2019-01-01","Y62","NORTH WEST COMMISSIONING REGION","125644","725194.58","7491889","pre-covid year 2"
"188","2019-01-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","159865","920711.98","8994425","pre-covid year 2"
"189","2019-01-01","Y58","SOUTH WEST COMMISSIONING REGION","104372","612808.06","5817060","pre-covid year 2"
"190","2019-02-01","Y56","LONDON COMMISSIONING REGION","69258","536842.27","10030639","pre-covid year 2"
"191","2019-02-01","Y59","SOUTH EAST COMMISSIONING REGION","112235","783345.76","9319117","pre-covid year 2"
"192","2019-02-01","Y60","MIDLANDS COMMISSIONING REGION","148697","942271.07","11120180","pre-covid year 2"
"193","2019-02-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","94448","627321.01","6879350","pre-covid year 2"
"194","2019-02-01","Y62","NORTH WEST COMMISSIONING REGION","104585","668764.77","7498646","pre-covid year 2"
"195","2019-02-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","133776","814817.1","8999077","pre-covid year 2"
"196","2019-02-01","Y58","SOUTH WEST COMMISSIONING REGION","89264","541430.04","5821677","pre-covid year 2"
"197","2019-03-01","Y56","LONDON COMMISSIONING REGION","72013","624688.47","10046810","pre-covid year 2"
"198","2019-03-01","Y59","SOUTH EAST COMMISSIONING REGION","115739","885277.2","9324725","pre-covid year 2"
"199","2019-03-01","Y60","MIDLANDS COMMISSIONING REGION","153391","1047640.62","11127869","pre-covid year 2"
